기준 일자,정류소 명,정류소 번호,정류소아이디,권역,엑스좌표,위도,와이좌표,경도
2021-07-23,장애인종합복지관,43320,169000320,강화군,154262.2931,126.4819039,470602.0429,37.73674322
2021-07-23,장인가구,39706,165000706,남동구,172692.084,126.6924353,431630.2457,37.38635283
2021-07-23,장인가구,39016,165000016,남동구,173546.4575,126.7020616,432213.7189,37.39163477
2021-07-23,장자말,43257,169000257,강화군,157509.1877,126.5194379,458604.4172,37.62880858
2021-07-23,장자말,43142,169000142,강화군,157500.2392,126.5193361,458612.4145,37.62888022
2021-07-23,장자촌,43255,169000255,강화군,156714.1163,126.5104455,458366.6723,37.62662949
2021-07-23,장자촌,43141,169000141,강화군,156714.7207,126.5104532,458352.331,37.62650031
2021-07-23,장자촌,43978,169000978,강화군,156636.6448,126.5095709,458316.0254,37.62616953
2021-07-23,장자촌,43977,169000977,강화군,156626.3163,126.5094558,458284.3022,37.62588323
2021-07-23,장전,43500,169000500,강화군,150004.1701,126.4346281,455594.2019,37.60131048
2021-07-23,장전,43415,169000415,강화군,149970.0506,126.4342409,455606.1032,37.60141585
2021-07-23,장정2리마을회관,43693,169000693,강화군,150171.1365,126.4351229,475989.4078,37.78506505
2021-07-23,장정2리마을회관,43665,169000665,강화군,150186.0126,126.4352925,475978.1023,37.78496401
2021-07-23,장지역,33040,123000040,코드정보 없음,211020.6353,127.1253869,441998.8762,37.48011409
2021-07-23,장지역,33033,123000033,코드정보 없음,211089.8274,127.1261674,441880.8426,37.47904978
2021-07-23,장지포,90239,169001239,강화군,146359.3516,126.3925946,465948.1498,37.69438634
2021-07-23,장지포,90238,169001238,강화군,146354.6191,126.3925396,465967.3155,37.69455873
2021-07-23,장천사거리,37610,163000610,미추홀구,169203.5409,126.6526951,439984.2028,37.46151196
2021-07-23,장천사거리,37651,163000651,미추홀구,,0,,0
2021-07-23,장천사거리,37282,163000282,미추홀구,169056.557,126.6510367,439915.2881,37.46088613
2021-07-23,장촌,44042,170000042,옹진군,,0,,0
2021-07-23,장촌길 입구,90379,169001379,강화군,,0,,0
2021-07-23,장촌길 입구,90382,169001382,강화군,,0,,0
2021-07-23,장촌마을,35475,161000475,중구,156942.9298,126.5137778,445773.219,37.51317887
2021-07-23,장촌마을,35476,161000476,중구,157008.7452,126.5145045,446074.5864,37.51589715
2021-07-23,장촌빌라,35397,161000397,중구,157247.936,126.5172269,445784.1056,37.51329115
2021-07-23,장촌빌라,35321,161000321,중구,157168.7292,126.5163482,445490.0293,37.51063795
2021-07-23,장촌초등학교,65081,219000081,코드정보 없음,177774.481,126.7488495,463756.3975,37.67594078
2021-07-23,장하,43184,169000184,강화군,151550.5531,126.4517735,461100.7047,37.65100345
2021-07-23,장하,43204,169000204,강화군,151638.1806,126.4527475,461386.4179,37.65358216
2021-07-23,장한평역,13001,103000001,코드정보 없음,205839.6,127.0668838,451297.3,37.5639393
2021-07-23,장한평역,15004,105000004,코드정보 없음,205892.169,127.067479,451319.4483,37.56413852
2021-07-23,장화교회앞,43539,169000539,강화군,145536.6571,126.3838825,457706.9854,37.62009135
2021-07-23,장화교회앞,43121,169000121,강화군,145526.7901,126.3837713,457700.1559,37.62002923
2021-07-23,장화리학생수련원,43474,169000474,강화군,145336.8517,126.3815747,458305.6839,37.62547332
2021-07-23,장화리학생수련원,43426,169000426,강화군,145325.2217,126.3814432,458302.7223,37.62544594
2021-07-23,장흥,83006,235000006,코드정보 없음,194747.3823,126.941211,468512.9831,37.71905133
2021-07-23,장흥,83003,235000003,코드정보 없음,194689.3829,126.9405532,468505.9822,37.71898792
2021-07-23,장흥낚시터,43890,169000890,강화군,156840.2327,126.5119307,457407.3307,37.61799226
2021-07-23,장흥낚시터,43211,169000211,강화군,156826.4474,126.5117747,457404.9862,37.61797049
2021-07-23,장흥리종점,43888,169000888,강화군,157301.7919,126.517214,456457.5765,37.60945704
2021-07-23,장흥리종점,43643,169000643,강화군,157295.4289,126.5171434,456433.0857,37.60923609
2021-07-23,장흥매점,43641,169000641,강화군,156732.1277,126.5106965,457572.5201,37.61947545
2021-07-23,장흥매점,43891,169000891,강화군,156642.0096,126.5096934,457276.6459,37.61680553
2021-07-23,장흥삼거리,43153,169000153,강화군,157597.9572,126.5205392,456955.4134,37.61395601
2021-07-23,장흥삼거리,43881,169000881,강화군,157610.4454,126.5206805,456956.8841,37.61396984
