신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21448.0,12043342,더곱빼기,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,126.691672398014,37.4761368296283,외식업
21450.0,11974389,GS25,열우물공원점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.695328870201,37.4752131607675,소매업
21400.0,11971162,코리아세븐인천,부개중앙점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.733949841386,37.4905454392207,소매업
21351.0,11979279,킹다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.732665927834,37.5042904240616,외식업
21394.0,12016530,부평리복,,D,소매,D05,의복의류,D05A02,캐쥬얼/스포츠의류,G47416,셔츠 및 기타 의복 소매업,126.7237779796,37.4935625656074,소매업
21391.0,12007377,창대정육마트-4구역,,D,소매,D01,음/식료품소매,D01A03,정육점,G47212,육류 소매업,126.72540720437,37.4961751261601,소매업
21391.0,12006748,트라이,부평시장점,D,소매,D05,의복의류,D05A07,셔츠/내의/속옷,,,126.725461698828,37.4976263740281,소매업
21395.0,11978543,무진장회센터,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,126.724861623575,37.4916821018066,외식업
21404.0,11984379,빅다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.723337286585,37.4895572235053,외식업
21394.0,11965800,애슐리부평역점,부평역점,Q,음식,Q06,양식,Q06A05,패밀리레스토랑,I56114,서양식 음식점업,126.723960178032,37.4921589248622,외식업
21344.0,11970463,GS25삼산체육관역점,삼산체육관역점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.731748127404,37.5070647564401,소매업
21458.0,12042400,퐁듀베이커리,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,126.730728655816,37.483771146857,외식업
21405.0,12041832,반찬장독대,,D,소매,D01,음/식료품소매,D01A07,반찬가게,G47219,기타 식료품 소매업,126.709049865019,37.4879242637045,소매업
21391.0,12007638,영동건어물,,D,소매,D01,음/식료품소매,D01A11,건어물상,G47213,수산물 소매업,126.726988734196,37.4976067994711,소매업
21336.0,11972961,카페블랑카,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.729366561359,37.5114451945289,외식업
21404.0,11974865,아스카헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.728630769261,37.4901369107112,서비스업
21336.0,11971231,ANGANG,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.726269445856,37.5113217316224,외식업
21358.0,11984386,크린토피아코인워시부평래미안점,코인워시부평래미안점,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,가정용 세탁업,126.722273668463,37.5028719694409,서비스업
21336.0,11966962,하모니마트,,D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,126.726362519634,37.5111695604089,소매업
21395.0,12035850,더끌림,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.726696209455,37.4935219748549,서비스업
21351.0,12033006,세븐일레븐,인천부평신복점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.731406844103,37.5058447007172,소매업
21318.0,11971257,미성가,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,126.735357919626,37.5190240822544,외식업
21317.0,11972244,세븐일레븐,부평북초점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.729172226509,37.5209039029159,소매업
21391.0,12007870,보령닭집,,D,소매,D01,음/식료품소매,D01A04,닭집,G47212,육류 소매업,126.725539079298,37.4957350437951,소매업
21391.0,12040392,디커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.726178026363,37.496733069955,외식업
21446.0,12046148,에덴렌트카,,F,생활서비스,F07,물품기기대여,F07A11,렌트카,L69110,자동차 임대업,126.702172843635,37.4690894359293,서비스업
21391.0,12008892,우인닭집,,D,소매,D01,음/식료품소매,D01A04,닭집,G47212,육류 소매업,126.727356683151,37.4959168256696,소매업
21393.0,12039331,세븐일레븐,인천부평문화로점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.723992804622,37.4962229281799,소매업
21318.0,12017064,부영건강원,,D,소매,D10,건강/미용식품,D10A07,건강원,G47216,건강보조식품 소매업,126.738116608729,37.5197834239995,소매업
21344.0,12043198,수유리우동집,,Q,음식,Q04,분식,Q04A04,우동전문점,I56194,분식 및 김밥 전문점,126.735093314215,37.507893534999,외식업
21405.0,11971386,쌍둥이네분식,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,126.70880162829,37.4872367673264,외식업
21425.0,11982355,순수한헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.726704590421,37.4857011060758,서비스업
21329.0,11964250,꼼장어곱창,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,126.725668148382,37.5174152080122,외식업
21318.0,11982590,60계치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,126.737805537327,37.5194467191699,외식업
21391.0,12008009,오복건어물,,D,소매,D01,음/식료품소매,D01A11,건어물상,G47213,수산물 소매업,126.726178026363,37.496733069955,소매업
21318.0,12035728,그리다네일,,F,생활서비스,F01,이/미용/건강,F01A02,발/네일케어,S96119,기타미용업,126.73666692456,37.519885059071,서비스업
21319.0,12040895,원두원식품,,D,소매,D01,음/식료품소매,D01A01,식료품점,G47219,기타 식료품 소매업,126.742484996303,37.5216951491421,소매업
21364.0,11977155,플라워앤커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.718746653254,37.5060864791837,외식업
21399.0,11983879,부산세탁,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,가정용 세탁업,126.731035160037,37.4923883128501,서비스업
21425.0,11979968,백전무패양꼬치전문점,,Q,음식,Q09,유흥주점,Q09A03,꼬치구이전문점,I56219,기타 주점업,126.725411180126,37.4872909962211,외식업
21304.0,11970459,GS25,청천대로점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.704131686585,37.5192982737788,소매업
21363.0,11976720,술취한부엌,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,126.71208805204,37.5052481873262,외식업
21406.0,11970450,GS25부평남부점,부평남부점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.72638112651,37.488103376116,소매업
